"entry_id";"country";"description";"designation";"points";"price";"province";"region";"taster_name";"title";"variety";"winery"
"119696";"Ukraine";"Fresh apple notes on the nose of this off-dry sparkling are pretty, but hindered by whiffs of dust and green stems. Softly pétillant with a creamy, mouth-filling froth, it finishes with a pleasantly sweet note. An unusual blend of Pinot Franc, Chardonnay, Aligote and Riesling.";"KrimSekt White Collection Semi-Dry";"84";"13";"Ukraine";NA;"Annа Lее C. Iijimа";"Artemovsk 2008 KrimSekt White Collection Semi-Dry Sparkling (Ukraine)";"Sparkling Blend";"Artemovsk"
"117372";"Ukraine";"This wine has aromas of pomegranate juice and dried cherry. Flavors suggest pomegranate juice and tart cherry conserves.";NA;"84";"6";"Ukraine";NA;"Jeff Jenssen";"Côtnar Hills 2014 Merlot (Ukraine)";"Merlot";"Côtnar Hills"
"117372";"Ukraine";"This wine has aromas of pomegranate juice and dried cherry. Flavors suggest pomegranate juice and tart cherry conserves.";NA;"84";"6";"Ukraine";NA;"Jeff Jenssen";"Côtnar Hills 2014 Merlot (Ukraine)";"Merlot";"Côtnar Hills"
"112088";"Ukraine";"This ruby-red sweet wine is nonvintage made and from Muscat Hamburg. It has aromas of cassis syrup and freshly ground dried herbs. In the mouth, there are flavors of sweet ripe cherry preserves, blackberry sauce and sweet pomegranate juice.";"Royal Reserve";"86";"9";"Ukraine";NA;"Jeff Jenssen";"Koblevo NV Royal Reserve Muscat Hamburg (Ukraine)";"Muscat Hamburg";"Koblevo"
"112088";"Ukraine";"This ruby-red sweet wine is nonvintage made and from Muscat Hamburg. It has aromas of cassis syrup and freshly ground dried herbs. In the mouth, there are flavors of sweet ripe cherry preserves, blackberry sauce and sweet pomegranate juice.";"Royal Reserve";"86";"9";"Ukraine";NA;"Jeff Jenssen";"Koblevo NV Royal Reserve Muscat Hamburg (Ukraine)";"Muscat Hamburg";"Koblevo"
"103661";"Ukraine";"This wine has aromas of pomegranate and black plum. It conveys flavors of cranberry and black raspberry. The finish is short-lived yet pleasantly acidic.";NA;"84";"6";"Ukraine";NA;"Jeff Jenssen";"Côtnar Hills 2014 Cabernet Sauvignon (Ukraine)";"Cabernet Sauvignon";"Côtnar Hills"
"101948";"Ukraine";"This has aromas of citrus blossom and lemon pith. There are flavors of green apple and pear in the mouth with an acidic finish.";"Reserve";"85";"9";"Ukraine";NA;"Jеff Jеnssеn";"Koblevo NV Reserve Chardonnay (Ukraine)";"Chardonnay";"Koblevo"
"96502";"Ukraine";"The nose is a tad dusty, with hints of unripe fruit and leaves, but the palate on this brut sparkling is clean and lemony, with a sharp, steely profile. Aggressive on the attack, with a stark, brisk acidity, it finishes with abundantly mouth-filling froth.";"KrimSekt White Collection Brut";"83";"13";"Ukraine";NA;"Anna Lee C. Iijima";"Artemovsk 2008 KrimSekt White Collection Brut Sparkling (Ukraine)";"Sparkling Blend";"Artemovsk"
"83824";"Ukraine";"This has aromas of white flowers, especially honeysuckle, and flavors of lemon custard, guava and lemon rind. The finish is rounded yet crisp.";"Reserve";"88";"9";"Ukraine";NA;"Jeff Jenssen";"Koblevo NV Reserve Riesling (Ukraine)";"Riesling";"Koblevo"
"83326";"Ukraine";"This nonvintage red dessert wine is made from Bastardo grapes. It is garnet in color with aromas of sweet cherry syrup and raspberry preserves. It has flavors of soda fountain cola spiked with cherry juice and cassis. It is delightfully sweet with a touch of acidity in the finish.";"Kagor Reserve";"85";"9";"Ukraine";NA;"Jеff Jеnssеn";"Koblevo NV Kagor Reserve Bastardo (Ukraine)";"Bastardo";"Koblevo"
"77028";"Ukraine";"This ruby-garnet wine has a touch of oxidation on the nose with flavors of blackberry, black plum and black cherry in the mouth. It's not perfectly harmonious in the midpalate but there's a fair bit of acidity in the finish that makes it refreshing.";"Reserve";"84";"9";"Ukraine";NA;"Jeff Jenssen";"Koblevo NV Reserve Merlot (Ukraine)";"Merlot";"Koblevo"
"43657";"Ukraine";"This medium-bodied rosé has aromas of strawberries and rose petals, and flavors of cherry, strawberry and tart cherry. The finish is clean, with a slight touch of residual sweetness on the palate.";"Semi-Dry";"84";"6";"Ukraine";NA;"Jeff Jenssen";"Côtnar Hills 2014 Semi-Dry Rosé (Ukraine)";"Rosé";"Côtnar Hills"
"35748";"Ukraine";"This pale lemon sparkling wine has aromas of citrus flowers, brioche and yeast in the bouquet. It is slightly sweet on the palate with flavors of green apple, peach and sweet lime juice.";"Semi-Dry";"82";"10";"Ukraine";NA;"Jeff Jenssen";"Marengo NV Semi-Dry Sparkling (Ukraine)";"Sparkling Blend";"Marengo"
"35744";"Ukraine";"This sparkling rosé has aromas of honeydew melon and dried red cherries. In the mouth, it has persistent bubbles, flavors of ripe strawberry and a sweet red-fruit finish.";"Rose";"82";"10";"Ukraine";NA;"Jeff Jenssen";"Marengo NV Rose Sparkling (Ukraine)";"Sparkling Blend";"Marengo"
"35737";"Ukraine";"Persistent bubbles lead the way to aromas of citrus blossom, green apple and yeasty bread. There are flavors of apple juice and lemon preserves in the midpalate. The finish is pleasantly sweet.";"Semi-Sweet Bianco";"83";"10";"Ukraine";NA;"Jeff Jenssen";"Marengo NV Semi-Sweet Bianco Sparkling (Ukraine)";"Sparkling Blend";"Marengo"
"19338";"Ukraine";"On the nose, this nonvintage sparkler from the Ukraine has primary notes of yeast and freshly baked bread There are soft flavors of green apple and peach in the mouth with gentle persistent bubbles.";"Brut";"83";"10";"Ukraine";NA;"Jeff Jenssen";"Marengo NV Brut Sparkling (Ukraine)";"Sparkling Blend";"Marengo"
"19338";"Ukraine";"On the nose, this nonvintage sparkler from the Ukraine has primary notes of yeast and freshly baked bread There are soft flavors of green apple and peach in the mouth with gentle persistent bubbles.";"Brut";"83";"10";"Ukraine";NA;"Jeff Jenssen";"Marengo NV Brut Sparkling (Ukraine)";"Sparkling Blend";"Marengo"
